Date,ACB,AGR,CTC,CTG,EIB,HOM,MAS,MBB,SHB,STB
11/10/2022,17.5,7.82,2.7,19.8,37,6.4,36.1,16.05,19,15.85
11/11/2022,20.8,6.54,1.7,23.6,24.15,5.1,39.8,16,13.7,15.6
12/1/2022,33.1,24.5,9.6,34.15,33.8,9.4,40.1,29.2,13.65,34.7
12/4/2022,33.45,18.5,9,31,33.8,10,44.9,32.25,14.9,30.8
12/5/2022,29.5,12.45,6.1,25,31.6,7.9,40.4,25.65,14.25,21.95
12/7/2022,24,10.2,4.3,25.7,31.05,6.8,35.2,25.05,10.05,22.6
12/8/2022,24.8,12.1,5,28.65,29.95,7.5,36,27.05,10.5,25.65
12/9/2022,23.75,11.65,4.1,27.05,30.45,8,37.5,22.6,10.6,23.1
12/10/2022,18.7,8,2.6,21.15,37,6.7,36.1,17.15,10,16.95
12/12/2022,22.5,8.18,2.1,27.45,23.85,4.9,35.5,17.7,11.75,21.3
1/2/2023,25.2,8.21,2.1,29,25.7,5.2,34.2,18.9,12.55,25.65
1/3/2023,25.15,7.9,1.8,28.25,18,5.1,35.5,17.65,10.35,25.4
1/6/2023,21.4,13,2.4,27.95,20.85,5.2,38.1,18.8,10.85,28
1/8/2023,22.85,15.2,3.1,30.4,21.45,5.5,31,18.85,10.45,28.95
1/11/2023,21.6,12.55,1.5,27.4,17.15,4.9,30.9,17.2,9.9,27.65
1/12/2023,21.95,15.65,1.3,26.3,18.3,5.1,30.4,17.8,12.05,27.5
2/2/2023,25,08.09,2.1,29.2,25.3,5.1,34.2,18.95,12.65,26.15
2/3/2023,25.05,7.85,1.8,27.8,18.35,5.1,35.5,17.4,11.05,25.6
2/6/2023,21.8,13.1,2.3,28.65,21.2,5,38.1,19.7,10.9,28.3
2/8/2023,23.1,15.25,3,31.05,22.95,5.4,31,18.9,10.4,29.1
2/10/2023,21.9,17.75,2.2,29.95,17.7,5.3,30,18.6,10.45,30.85
2/11/2023,22.3,13.4,1.5,28.25,17.6,5,30.9,17.7,9.78,29
3/1/2023,22.7,8,2.1,28,27.4,4.8,38,18,11.2,23.5
3/2/2023,24.5,08.06,2.1,29.05,25.3,5,34.2,18.6,12.95,26.05
3/3/2023,24.5,7.72,1.8,27.8,18,5,35,17.15,12.65,25
3/4/2023,25.25,9.73,1.8,29.95,19.6,4.8,36,18.7,10.55,26.75
3/7/2023,22.05,14.2,2.8,29.25,20.6,5.6,34.2,20.2,10.7,29.7
3/8/2023,23.45,15.4,3,30.9,22.5,5.4,31,18.85,10.3,28.6
3/10/2023,21.6,16.55,2.2,29.1,16.75,5.3,30,18.05,11.5,29.2
3/11/2023,22.05,13.45,1.4,28,17.8,4.9,30.9,17.4,11.05,28.5
4/1/2023,22.65,8,2.1,28.5,27.15,5,34.2,17.95,13.25,23.3
4/4/2023,25.15,9.9,1.8,29.65,19.55,4.7,36,18.75,13.3,26.9
4/5/2023,24.7,12.3,1.7,28.25,18.75,4.6,32.4,18.2,10.65,25.15
4/7/2023,22,15,2.9,29.45,20.3,5.6,34.2,20.35,11.1,29.85
4/8/2023,24.4,15.65,2.9,31,23.8,5.9,29.1,19,10.35,28.95
4/10/2023,21.6,16.5,2.1,28.9,16.95,5.3,30,18.15,11.55,30.2
4/12/2023,22.3,16.65,1.3,26.55,18.7,5.1,28.1,18.05,10.95,28.2
5/1/2023,22.85,8,2.1,28.5,27.6,4.9,34.2,18.2,12.35,24.2
5/4/2023,25.3,10.1,1.9,30,19.6,4.8,36,18.8,13.15,26.25
5/5/2023,24.65,12.15,1.6,27.85,18.85,4.5,32.4,18.1,12.65,24.95
5/6/2023,21.75,13.1,2.3,28.75,20.65,4.9,38.1,19.8,10.5,28.05
5/7/2023,21.95,14.65,3,29.55,20.2,5.7,34.2,20.4,10.95,29.9
5/9/2023,22.75,17.35,2.7,32.65,25.55,5.9,30,19.15,10.55,32.7
5/10/2023,21.6,15.8,2,28.1,16.65,5.3,30,18.05,10.45,29.9
5/12/2023,22.15,16.6,1.3,26.5,18.55,5.1,28.1,18.05,9.92,27.8
6/1/2023,23.15,8,2,28.6,28.1,4.8,34.2,18.25,11.35,24.3
6/2/2023,24.9,08.08,2,29.9,25.8,5,34.2,18.7,12.5,25.7
6/3/2023,24.3,7.8,1.7,28.35,18.25,5.1,35,17.3,13.05,24.9
6/4/2023,24.9,9.6,1.9,29.55,19.3,4.9,36,18.5,12.65,25.65
6/6/2023,21.8,13.35,2.4,28.7,20.95,5.1,38.1,20.45,10.7,28.3
6/7/2023,21.7,14.65,2.9,29.35,19.95,5.5,34.2,20.2,11,29.1
6/9/2023,22.95,17.75,2.7,32.65,25.55,5.9,29,19.25,11,33.05
6/10/2023,21.8,16.1,2.1,28.7,17.05,5.3,30,18.15,10.15,30.95
6/11/2023,22.2,13.7,1.4,28.55,18,5,30.9,17.95,9.97,29.45
6/12/2023,22.3,16.8,1.3,26.65,18.9,5,28.1,18.1,11.6,28.1
7/2/2023,24.6,7.99,1.9,29.2,25,5,32.9,18.35,12.3,25.75
7/3/2023,24.5,7.8,1.8,29,19.5,5.1,32,17.4,13.5,25
7/4/2023,25.05,10.05,1.9,29.5,19.1,4.8,36,18.6,13.45,26
7/6/2023,21.85,13.25,2.6,28.9,21.45,5.1,38.1,20.35,12.75,28.35
7/7/2023,21.7,14.8,2.9,29.6,20.25,5.5,34.2,20.45,10.85,29.6
7/8/2023,23.75,16.15,2.9,32.6,23.95,6.4,32,19.35,11.05,30.05
7/9/2023,22.9,17.8,2.7,32.65,25.55,5.9,31.9,19.3,10.15,33
7/11/2023,22.1,13.55,1.4,28.55,17.7,4.8,30.9,17.8,10.05,29
7/12/2023,22.4,16.35,1.3,26.9,19.05,5.1,28.1,18.25,11.2,28.55
8/2/2023,24.65,08.05,2,29.9,24.45,5,32.9,18.4,12.2,25
8/3/2023,25,7.86,1.8,29.4,20.4,5.1,32,17.6,13.25,25.35
8/5/2023,24.95,12.2,1.6,27.9,18.95,4.5,32.4,18.25,12.7,25.65
8/6/2023,21.6,12.55,2.8,28.55,20.8,5.1,38.1,20,11.35,27.6
8/8/2023,23.4,15.95,3.1,32.6,24.1,6.5,31.1,19.2,11,29.8
8/9/2023,22.75,17.7,2.7,32.3,25.5,6,30,19.1,10.5,32.5
8/11/2023,22.8,14.45,1.4,29.25,18.2,5.1,30,18.35,10.15,30
8/12/2023,22.4,16.05,1.3,26.9,19.1,5.1,29.8,18.2,10.3,28.2
9/1/2023,23.1,7.93,2,29.1,28.8,4.7,34.2,18.25,11.2,24.65
9/2/2023,24.5,8,2,29.4,24.65,5,32.9,18.45,12.15,24.45
9/3/2023,25.35,7.95,1.9,29.4,20.4,5.1,34,17.8,13.15,26.5
9/5/2023,24.9,12.2,1.6,28,19.1,4.5,32.4,18.3,10.75,25.75
9/6/2023,21.55,12.8,3,28.35,20.7,5.1,38.1,20.25,11.25,28.1
9/8/2023,23.2,15.65,3.3,32.5,24.2,6.5,31.1,19.15,10.5,31.2
9/10/2023,22.5,16.3,1.9,29.15,17.3,5.3,30,18.3,10.1,31.2
9/11/2023,22.55,14.95,1.4,29.5,18.15,5.1,27.2,18.35,10.1,29.65
10/1/2023,23.45,7.8,2,28.55,28.1,5.1,34.2,18.2,12,24.95
10/2/2023,24.2,7.87,2,29.1,22.95,5,34.5,18.3,11.6,23.65
10/3/2023,24.9,7.87,2,29.2,20.5,5.2,34,17.75,13.5,26
10/4/2023,25,10.1,1.9,29.35,19.1,4.8,36,18.6,12.95,25.95
10/5/2023,24.9,12.15,1.7,28.25,19.55,4.5,32.4,18.5,10.85,26.35
10/7/2023,21.95,15.05,2.8,29.7,20.35,5.6,34.2,20.75,11.15,29.85
10/8/2023,22.9,15.55,3.1,31.65,24.25,6.3,31.1,18.9,10.55,30.55
10/10/2023,22.8,16.55,1.8,29.3,17.6,5.4,30,18.45,11.75,31.25
10/11/2023,22.4,14.9,1.4,29.4,17.75,4.8,27.2,18,11.5,29.5
11/1/2023,24.2,08.04,2,29.1,26.2,5.1,34.2,18.25,13.6,24.7
11/4/2023,24.95,10.1,1.8,29.6,19.25,4.8,36,18.75,12.95,25.95
11/5/2023,24.9,12.1,1.7,28.35,19.35,4.6,32.4,18.5,12.3,26.4
11/7/2023,22,14.95,2.9,30.3,20.35,5.6,34.2,21.2,10.9,30
11/8/2023,22.9,16,3,32.1,24.25,6.2,33.4,18.9,11.15,31.85
11/9/2023,22.35,17.9,2.6,31.9,25,6,30,18.75,10.5,31.6
11/10/2023,22.7,17.5,1.8,29.5,17.65,5.4,30,18.5,12.2,31.75
11/12/2023,22.4,16.05,1.3,26.85,19,4.9,29.8,18.15,11.6,27.85
12/1/2023,24.5,7.99,2,28.9,25,5.1,34.2,18.25,12.2,24.95
12/4/2023,24.85,9.8,1.9,29.5,19.55,4.8,36,18.7,13.75,26.1
12/5/2023,25,12.45,1.7,28.4,19.35,4.7,32.4,18.65,12.55,26.8
12/6/2023,21.45,12.6,3.3,28.4,21.35,5.3,38.1,20.35,10.85,28.2
12/7/2023,21.85,15.15,2.8,30,20.35,5.6,34.2,21,11.1,29.8
12/9/2023,22.75,19.15,2.6,32.3,25.4,6,30,19.25,19.1,32.35
12/10/2023,22.7,17.3,1.8,29.6,17.45,5.4,30,18.35,22.25,31.6
12/12/2023,22.5,15.95,1.3,27,19,5,27.2,18.25,10.7,28
13/01/2021,29.85,11.05,3.5,38.65,21.5,4.2,41.7,26,9.8,19.5
13/01/2022,33.35,23.65,8.7,35.15,34.2,9,42,29.7,9.94,34.3
13/01/2023,24.15,08.05,1.9,29.1,25.75,5,34.2,18.25,25.4,25.3
13/02/2023,23.9,7.35,1.9,29.15,21.35,5,34.5,18,19.6,24.5
13/03/2023,24.5,7.76,1.8,29.3,20.1,5.1,34,17.5,12.05,25
13/04/2021,34.6,12.5,4,42.05,23.6,6.5,38.4,31.1,26,22.7
13/04/2022,33.65,19,9,31.5,34.1,10,43,32.6,12.8,31.35
13/04/2023,24.95,9.58,1.9,29.4,19.6,4.9,36,18.55,13.5,26.45
13/05/2021,36.2,11,5.6,46.5,27,5,36,32.95,12.25,26.3
13/05/2022,27.5,11.6,5.5,23.9,31.3,7.2,39,24.1,24.3,20.45
13/06/2022,23.9,11.45,4.8,25.25,30.9,7.4,43.9,25.65,14.6,20.6
13/06/2023,21.6,12.8,3.6,28.3,21.5,5.4,38,20.3,13.8,28.2
13/07/2021,32.9,12.8,3.4,34.6,28.1,4.3,45,29.8,29,28.7
13/07/2022,24,10.2,4.2,26.55,30.9,6.8,33.1,25.3,25.9,23.05
13/07/2023,22,15.2,2.8,30,20.25,5.6,34.2,21.1,14.4,30
13/08/2021,35.35,14.3,4.2,34.3,26.3,5.6,36.8,29.6,12.35,29.7
13/09/2021,31.9,16.75,6,31.85,25.5,,43.8,27.9,30,26.9
13/09/2022,23.8,11.7,4,27.5,30.9,8,37.4,22.55,10.3,23.05
13/09/2023,22.55,19.2,2.6,32.55,25.4,6.3,30,19.05,10.8,31.95
13/10/2021,32.6,17.2,7.1,30.7,23.1,9.8,44.4,28.6,11.05,26.25
13/10/2022,19.95,08.02,2.6,22.4,37.8,6.7,36.1,17.4,22.6,17.65
13/10/2023,22.65,16.95,1.7,29.3,17.45,5.4,30.9,18.45,10.9,31.5
13/11/2023,22.45,14.8,1.4,29.4,17.8,4.9,27.2,18.1,10.9,29.25
13/12/2021,33.4,24.7,8.2,33.5,26.45,9.8,41.9,28.4,19.1,28.65
13/12/2022,23.05,8.55,2.1,28.15,25.5,4.9,35.5,18,22.5,22.55
13/12/2023,22.3,15.8,1.3,26.75,19,4.9,28,18.05,22,27.45
14/01/2021,29.85,11.8,3.5,39.15,21.6,4.2,39.9,26.4,9.84,20.1
